id,taxid,superkingdom,organism,title,valid
CP006870,1416915,Bacteria,Aeromonas hydrophila NJ-35,"Aeromonas hydrophila NJ-35, complete genome",True
LN554882,83555,Bacteria,Chlamydia abortus,"Chlamydophila abortus genome assembly CAAB7, chromosome : 1",True
NZ_CM001149,525370,Bacteria,Prescottella equi ATCC 33707,"Prescottella equi ATCC 33707 chromosome, whole genome shotgun sequence",True
NZ_QEKR01000001,2488639,Bacteria,Pectobacterium versatile,"Pectobacterium versatile strain WS2152 Ga0215728_11, whole genome shotgun sequence",True
CP009976,1348584,Bacteria,Cellulophaga baltica 18,"Cellulophaga baltica 18, complete genome",True
NZ_SAUP01000001,53407,Bacteria,Pseudomonas asplenii,"Pseudomonas asplenii strain ES_PA-E7 Ga0181145_11, whole genome shotgun sequence",True
NZ_CP018725,925775,Bacteria,Xanthomonas vesicatoria ATCC 35937,"Xanthomonas vesicatoria ATCC 35937 strain LMG911 chromosome, complete genome",True
CP000628,311403,Bacteria,Rhizobium rhizogenes K84,"Agrobacterium radiobacter K84 chromosome 1, complete sequence",True
CP009257,470,Bacteria,Acinetobacter baumannii,"Acinetobacter baumannii strain AB030, complete genome",True
HG530135,1231072,Bacteria,Clostridium tetani 12124569,"Clostridium tetani 12124569 main chromosome, complete genome",True
NZ_CM002276,1331042,Bacteria,Pasteurella multocida subsp. multocida P1062,"Pasteurella multocida subsp. multocida P1062 chromosome, whole genome shotgun sequence",True
SDYW01000001,1869227,Bacteria,bacterium,"MAG: bacterium isolate PMG_067 scaffold_117, whole genome shotgun sequence",True
CP023558,267375,Bacteria,Pseudoalteromonas marina,"Pseudoalteromonas marina strain ECSMB14103 chromosome, complete genome",True
CP020369,29442,Bacteria,Pseudomonas tolaasii,"Pseudomonas tolaasii strain 2192T, partial genome",True
NZ_LT897825,1908198,Bacteria,Salinivibrio kushneri,"Salinivibrio kushneri isolate PRJEB21454 scaffold00013, whole genome shotgun sequence",True
NZ_FOYN01000001,35743,Archaea,Halorubrum sodomense,"Halorubrum sodomense strain RD 26, whole genome shotgun sequence",True
HG530068,1407059,Bacteria,Pseudomonas aeruginosa PA38182,"Pseudomonas aeruginosa PA38182, complete genome",True
CM003594,1699621,Bacteria,Psychrobacter sp. P11F6,"Psychrobacter sp. P11F6 chromosome, whole genome shotgun sequence",True
NZ_LT961733,366649,Bacteria,Xanthomonas citri pv. fuscans,"Xanthomonas citri pv. fuscans strain CFBP6992, whole genome shotgun sequence",True
NZ_AEUD01000001,644548,Bacteria,Gordonia neofelifaecis NRRL B-59395,"Gordonia neofelifaecis NRRL B-59395 Scaffold1, whole genome shotgun sequence",True
GG663735,564608,Eukaryota,Micromonas pusilla CCMP1545,"Micromonas pusilla CCMP1545 genomic scaffold MICPUCscaffold_1, whole genome shotgun sequence",False
LS483339,1308,Bacteria,Streptococcus thermophilus,"Streptococcus thermophilus strain NCTC12958 genome assembly, chromosome: 1",True
NZ_JXYE01000002,579483,Bacteria,Loktanella sp. S4079,"Loktanella sp. S4079 contig0002, whole genome shotgun sequence",True
MH286069,300245,Eukaryota,Clostera anastomosis,"Clostera anastomosis mitochondrion, complete genome",False
NZ_UZVX01000004,152480,Bacteria,Burkholderia ambifaria,"Burkholderia ambifaria strain 3723STDY6145927, whole genome shotgun sequence",True
NJFC02000001,210,Bacteria,Helicobacter pylori,"Helicobacter pylori strain FDAARGOS_299 scf7180000000006_quiver_pilon, whole genome shotgun sequence",True
NZ_LFTY01000002,1675527,Bacteria,Candidatus Rhodobacter oscarellae,"Candidatus Rhodobacter oscarellae isolate IGS scaffold2, whole genome shotgun sequence",True
NZ_KV917376,79879,Bacteria,Evansella clarkii,"Evansella clarkii strain DSM 8720 Scaffold1, whole genome shotgun sequence",True
NC_002771,272635,Bacteria,Mycoplasmopsis pulmonis UAB CTIP,"Mycoplasmopsis pulmonis UAB CTIP, complete sequence",True
NZ_UHFO01000001,119602,Bacteria,Streptococcus dysgalactiae subsp. equisimilis,"Streptococcus dysgalactiae subsp. equisimilis strain NCTC11564, whole genome shotgun sequence",True
CM000737,1405,Bacteria,Bacillus mycoides,"Bacillus mycoides strain AH603 chromosome, whole genome shotgun sequence",True
CP001751,488538,Bacteria,Candidatus Puniceispirillum marinum IMCC1322,"Candidatus Puniceispirillum marinum IMCC1322 chromosome, complete genome",True
NZ_UFTK01000001,46503,Bacteria,Parabacteroides merdae,"Parabacteroides merdae strain NCTC13052, whole genome shotgun sequence",True
CP014567,1290,Bacteria,Staphylococcus hominis,"Staphylococcus hominis strain C34847, complete genome",True
NZ_UHFW01000006,1313,Bacteria,Streptococcus pneumoniae,"Streptococcus pneumoniae strain NCTC13734, whole genome shotgun sequence",True
CP017065,1582,Bacteria,Lacticaseibacillus casei,"Lacticaseibacillus casei strain LC5, complete genome",True
CALB01000097,1208590,Bacteria,Cronobacter turicensis 564,"Cronobacter turicensis 564 WGS project CALB00000000 data, contig Cturicensis_564, whole genome shotgun sequence",True
QLNP01000098,1665,Bacteria,Arthrobacter globiformis,"Arthrobacter globiformis strain mrc11 337, whole genome shotgun sequence",True
NZ_GL622183,888049,Bacteria,Streptococcus oralis ATCC 49296,"Streptococcus oralis ATCC 49296 SCAFFOLD1, whole genome shotgun sequence",True
CP013922,1288,Bacteria,Staphylococcus xylosus,"Staphylococcus xylosus strain S170, complete genome",True
MTZF01000001,103796,Bacteria,Pseudomonas syringae pv. actinidiae,"Pseudomonas syringae pv. actinidiae strain NZ45 BV361_1, whole genome shotgun sequence",True
NZ_UGJA01000003,1351,Bacteria,Enterococcus faecalis,"Enterococcus faecalis strain NCTC13779, whole genome shotgun sequence",True
CP013129,54571,Bacteria,Streptomyces venezuelae,"Streptomyces venezuelae strain ATCC 15439, complete genome",True
QMJJ01000001,33968,Bacteria,Leuconostoc pseudomesenteroides,"Leuconostoc pseudomesenteroides strain KMB_610 NODE_1_length_515587_cov_101.157, whole genome shotgun sequence",True
CP026100,1679497,Bacteria,Caulobacter flavus,"Caulobacter flavus strain RHGG3 chromosome, complete genome",True
NZ_CM001153,909947,Bacteria,Salmonella enterica subsp. enterica serovar Gallinarum str. SG9,"Salmonella enterica subsp. enterica serovar Gallinarum str. SG9 isolate 9 chromosome, whole genome shotgun sequence",True
CP029620,727,Bacteria,Haemophilus influenzae,"Haemophilus influenzae strain 10P129H1 chromosome, complete genome",True
NZ_MDHL01000001,33013,Bacteria,Clavibacter michiganensis subsp. michiganensis,"Clavibacter michiganensis subsp. michiganensis strain CAYO001 CMMCAY01_contig000001, whole genome shotgun sequence",True
PEKX01000007,306,Bacteria,Pseudomonas sp.,"MAG: Pseudomonas sp. isolate EaCA-3 231, whole genome shotgun sequence",True
EU557093,9739,Eukaryota,Tursiops truncatus,"Tursiops truncatus mitochondrion, complete genome",False
AF193903,33653,Eukaryota,Cafeteria roenbergensis,"Cafeteria roenbergensis mitochondrial DNA, complete genome",False
CP032788,1725,Bacteria,Corynebacterium xerosis,"Corynebacterium xerosis strain GS 1 chromosome, complete genome",True
CP001932,547559,Archaea,Natrialba magadii ATCC 43099,"Natrialba magadii ATCC 43099, complete sequence",True
JN632628,9927,Eukaryota,Connochaetes taurinus,"Connochaetes taurinus isolate SUN70 mitochondrion, complete genome",False
CP004014,1276282,Bacteria,Staphylococcus pasteuri SP1,"Staphylococcus pasteuri SP1, complete genome",True
CP030279,1744,Bacteria,Propionibacterium freudenreichii,"Propionibacterium freudenreichii strain CB129slpB chromosome, complete genome",True
KC990831,70448,Eukaryota,Ostreococcus tauri,"Ostreococcus tauri chloroplast, complete genome",False
